kld_kde,kld_kde_floor,mad_kde,kld_gaussian,mad_gaussian,data,seed,nobs
Inf,0.10686247611080885,0.04733017922604442,0.12265243915909259,0.03589408446516224,ptm,11,25
0.051466888488856055,0.051466888488856055,0.021368890654593863,0.10754910496695902,0.03407018931110977,skewnorm,11,25
0.19146654447493056,0.19146654447493056,0.11791671313301258,0.34944933272811723,0.11879086788688263,mixture,11,25
0.49847416394122207,0.49847416394122207,0.12371848756886139,0.7515016901066369,0.11866184769400538,u-shaped,11,25
0.19698680654590414,0.19698680654590414,0.09812228846565663,0.2240397981699923,0.09079799807042097,unif,11,25
Inf,0.07946607855156763,0.08455180186777975,0.09108388365598259,0.08761744174541612,gaussian,11,50
Inf,0.06949048841302427,0.025948020740186338,0.10587378363663812,0.046861888700638225,ptm,11,50
0.06444757347461315,0.06444757347461315,0.032091175426542794,0.12740413164970218,0.04651763637172197,skewnorm,11,50
0.16012513085442567,0.16012513085442567,0.10273140060835705,0.32494186263688385,0.10410841213743122,mixture,11,50
0.3673337892653744,0.3673337892653744,0.09381343501356623,0.654341027287172,0.08939451944417483,u-shaped,11,50
0.16964453766928728,0.16964453766928728,0.09985330597885421,0.23922941194818811,0.09567571903547505,unif,11,50
Inf,0.031316824033345854,0.04187505415446561,0.017819561135877078,0.03732910962078627,gaussian,11,100
Inf,0.04831495709619648,0.013223405933509189,0.10271138832274805,0.03395389607127234,ptm,11,100
0.05093643532452335,0.05093643532452335,0.021521309573418593,0.10022420728499352,0.039919956575251145,skewnorm,11,100
0.08083369891581847,0.08083369891581847,0.06924409452993359,0.28892669543440036,0.07681179865646175,mixture,11,100
0.2944169455915024,0.2944169455915024,0.0487067587146917,0.6079829804465907,0.06471890216896344,u-shaped,11,100
0.13182133437680452,0.13182133437680452,0.0826427165747331,0.23419696056200956,0.0796376373679126,unif,11,100
0.007256607556279667,0.007256607556279667,0.006586525863908907,7.660428477161764e-5,0.001847256486788671,gaussian,11,500
Inf,0.016960365347858383,0.008274593916783764,0.10598576849261147,0.03588301929296438,ptm,11,500
